recipe_urls,recipe_name,ingredients,cuisine
https://www.jamieoliver.com/recipes/duck-recipes/crispy-peking-duck-in-pancakes/,Crispy Peking duck in pancakes,"['1.2 kg duck', 'salt', 'five-spice', 'fresh ginger', '10-12 destoned plums', '5 tablespoons sugar', '2 pinches five-spice', '2 tablespoons soy sauce', '½ teaspoon chilli powder', 'grated orange zest', '½ cucumber', '1 bunch spring onions', '2 packs pre-made pancakes']",Chinese
https://www.jamieoliver.com/recipes/fish-recipes/crispy-fried-salmon-with-spring-vegetable-broth/,Crispy fried salmon with spring vegetable broth,"['½ 850 ml organic chicken or vegetable stock , lightly seasoned 8 baby bulbs fennel , stalks removed and herby tops reserved 4x120 g salmon steaks , from sustainable sources, ask your fishmonger, scored 1 small handful fresh mint , ripped 1 small handful fresh basil , leaves picked extra virgin olive oil sea salt freshly ground black pepper 100 g green beans , tops removed 100 g podded broad beans 100 g podded peas', '850 ml organic chicken or vegetable stock , lightly seasoned', '8 baby bulbs fennel , stalks removed and herby tops reserved', '4x120 g salmon steaks , from sustainable sources, ask your fishmonger, scored', '1 small handful fresh mint , ripped', '1 small handful fresh basil , leaves picked', 'extra virgin olive oil', 'sea salt', 'freshly ground black pepper', '100 g green beans , tops removed', '100 g podded broad beans', '100 g podded peas']",Japanese
https://www.jamieoliver.com/recipes/fish-recipes/crispy-barbecued-side-of-salmon-with-cucumber-yoghurt/,Crispy barbecued side of salmon with cucumber yoghurt,"['1.5 kg side of salmon , scaled, pin-boned, from sustainable soruces', '1 lemon , zest and juice of', '1 bunch fresh herby fennel tops or basil (30g) , leaves picked and finely chopped', 'olive oil', '1 cucumber , peeled lengthways at intervals', '300 ml fat-free natural yoghurt', '1 fresh red chilli , deseeded and finely chopped', '½ a bunch of fresh mint or oregano (15g) , leaves picked and chopped', 'extra virgin olive oil']",American
https://www.jamieoliver.com/recipes/seafood-recipes/creamy-mussels-with-smoky-bacon-cider/,Creamy mussels with smoky bacon & cider,"['1 clove of garlic', '½ a bunch of fresh flat-leaf parsley', '½ a bunch of fresh tarragon', '4 rashers of higher-welfare smoked streaky bacon', 'olive oil', '1 kg mussels , scrubbed, debearded, from sustainable sources', '150 ml quality cider', '2 tablespoons fat-free natural yoghurt', 'TOASTS', '½-1 loaf of rustic bread or ciabatta', '1 clove of garlic', 'extra virgin olive oil']",French
https://www.jamieoliver.com/recipes/chicken-recipes/cornish-cowboy-pasties/,Cornish cowboy pasties,"['PASTRY', '250 g butter', '300 ml hot water', '500 g plain flour , plus extra for dusting', '1 large free-range egg , beaten', '1 handful medium ground cornmeal or polenta', 'FILLING', '1 red onion , peeled and finely chopped', 'olive oil', '4 skinless, boneless higher-welfare chicken thighs , cut into 2cm dice', '½ small butternut squash , (approximately 250g) peeled and cut into 1cm chunks', '1 carrot , peeled and roughly chopped', '1 medium potato , peeled and cut into 1cm chunks', '6 sprigs fresh sage or thyme , leaves picked and chopped', 'nutmeg', '300 ml organic chicken stock', '2 tablespoons Worcestershire sauce', '1 tablespoon plain flour']",British
https://www.jamieoliver.com/recipes/vegetables-recipes/corn-chowder/,Corn chowder,"['1 stalk celery', '1 medium onion', 'olive oil', '½ teaspoon dried thyme', '1 tablespoon plain flour', '840 ml semi-skimmed milk', '1 medium potato , peeled and cut into little cubes', '3 spring onions', '175 g frozen corn', '¼ cup fresh chives , chopped, or parsley']",American
https://www.jamieoliver.com/recipes/vegetables-recipes/cool-mexican-bean-wraps/,Cool Mexican bean wraps,"['1 onion', '1 red pepper', '60 g Cheddar cheese', 'olive oil', '1 clove of garlic', '1 teaspoon chilli powder', '1 teaspoon tomato purée', '400 g tin of plum tomatoes', '400 g tin of red kidney beans', '4 large flour tortillas', '2 large handfuls of mixed salad leaves']",Mexican
https://www.jamieoliver.com/recipes/fish-recipes/coley-korma-with-fluffy-rice/,Coley korma with fluffy rice,"[""2 heaped tablespoons Patak's korma paste"", '4 x 180 g coley fillets , skin on, scaled and pin-boned, from sustainable sources', 'olive oil', '4 spring onions', '½-1 fresh red chilli', 'a few sprigs of fresh coriander', '200 ml light coconut milk', '1 lemon', 'RICE', '1 cup basmati rice', 'sea salt']",Indian
https://www.jamieoliver.com/recipes/fish-recipes/cod-potato-and-spring-onion-stew/,"Cod, potato and spring onion stew","['1 onion , peeled and finely chopped', '1 leek , washed and finely sliced', 'extra virgin olive oil', '2 medium courgettes , halved lengthways', '1 kg potatoes , peeled', '2 anchovies', '1 wineglass white wine', '565 ml milk', '565 ml organic stock', '1 kg cod fillet , from sustainable sources, ask your fishmonger, skinned and pin-boned', 'salt', 'freshly ground black pepper', '1 handful fresh flat-leaf parsley , roughly chopped', '1 bunch spring onions , finely sliced', '½ lemon , juice of']",Unknown
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-sausage-prawn-jambalaya/,"Chicken, sausage & prawn jambalaya","['4 free-range chicken thighs , skin on', '4 free-range chicken drumsticks , skin on', 'cayenne pepper', 'olive oil', '300 g quality smoked sausage, such as andouille or fresh iberico chorizo , skin removed, cut into 1cm thick slices', '1 large onion , peeled and roughly chopped', '1 green pepper , deseeded and roughly chopped', '1 red pepper , deseeded and roughly chopped', '4 sticks celery , trimmed and roughly chopped', '4 bay leaves', '4 sprigs fresh thyme', '6 cloves garlic , peeled and sliced', '1-2 fresh red chillies , deseeded and finely chopped', '400 g tinned chopped tomatoes', '1.5 litres organic chicken stock', '700 g long-grain rice', '16-20 raw king prawns , from sustainable sources, ask your fishmonger, peeled and deveined', '1 handful fresh curly parsley']",American
